AR Name,Client Name,Project Name,Project Code,PAR,Invoice Amount,Amount (PHP),Currency,Sales Remarks,Finance Remarks,Status,AM,Amount Collected,Amount Collected (PHP),Balance (PHP),Year,Business Unit,Signed CE,Internal CE,Invoice Request,Invoice Number,SI Number,Invoice,Invoice Date,Collection Date,CE Collection Date,Invoice Aging (days),CE Aging,Collection Week
BuzzOne - C-Vitt Brand Activation Full Payment,DIGITAL TRIGGER DIGITAL MEDIA INC,BuzzOne - C-Vitt Brand Activation,2025TEG-P0135,202505070018,1.17543698e+06,"1,175,436.98",PHP,April 17: Full payment received,,Collected,Shanna Mae Alindada Sacsi,1.17543698e+06,"1,175,436.98",0.00,2025,PDEI-Game Marketing,[SIGNED] V2 - [Mineski x BuzzOne C-VITT] - QUOTATION [PHP].pdf,https://docs.google.com/spreadsheets/d/1XtIUqRwut5dChCuCcnphr1dwTcGozhoFsLsZhjA7u5w/edit?usp=sharing,2.02512010046e+11,INV-1550,486,Inv 486.pdf,2025/12/02,2026/04/24,2025/09/20,143,0y 7m 4d late,17
SMDC Heroes Clash Year 3 (MPLACE),SM Development Corporation,SMDC Heroes Clash Community Arena,2025TEG-P0247,202509190067,196000,"196,000.00",PHP,May 11: Marked as paid in SM's system,,Collected,"Carlos Roberto Francisco, David, IV Coscolluela",196000,"196,000.00",0.00,2025,PDEI-Event Service,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,2.02601190088e+11,INV-1569,506,Inv 506.pdf,2026/01/21,2026/04/30,,99,0y 0m 0d late,18
SMDC Heroes Clash Year 3 (SM Light Mall),SM Development Corporation,SMDC Heroes Clash Community Arena,2025TEG-P0247,202509190067,197000,"197,000.00",PHP,May 11: Marked as paid in SM's system,,Collected,"Carlos Roberto Francisco, David, IV Coscolluela",197000,"197,000.00",0.00,2025,PDEI-Event Service,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,2.02601190093e+11,INV-1570,507,Inv 507.pdf,2026/01/21,2026/04/30,,99,0y 0m 0d late,18
SMDC Heroes Clash Year 3 (Sun),SM Development Corporation,SMDC Heroes Clash Community Arena,2025TEG-P0247,202509190067,197000,"197,000.00",PHP,May 11: Marked as paid in SM's system,,Collected,"Carlos Roberto Francisco, David, IV Coscolluela",197000,"197,000.00",0.00,2025,PDEI-Event Service,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,2.0260119009e+11,INV-1571,508,Inv 508.pdf,2026/01/21,2026/04/30,,99,0y 0m 0d late,18
Mineski Outpost - Don Bosco Alumni 2001 Full Payment,Don Bosco,Mineski Outpost - Don Bosco Alumni 2001,2026TEG-P0017,,37500,"37,500.00",PHP,,,Collected,Alvaro Miguel Dela Vega Santos,37500,"37,500.00",0.00,2026,PDEI-IP,PDEI x AMD x AsRock Sponsorship Agreement 21012026 signed.pdf,,2.02602090002e+11,INV-1579,517,INV 517.pdf,2026/02/10,2026/02/28,2026/02/28,18,0y 0m 0d late,9
AVP Production for LARES Downpayment (70%),Land Registration Systems Inc ,AVP Production for Land Registration Systems Inc,2026TEG-P0054,202603040036,243873,"243,873.00",PHP,Mar 19: Collected,,Collected,Shanna Mae Alindada Sacsi,243873,"243,873.00",0.00,2026,PDEI-Game Marketing,[LARES x Mineski] Final Conforme (2026.03.05) (1).pdf,https://docs.google.com/spreadsheets/d/1n6NYsWbb9XMpFRYoaBcRfQ2rJm1J2xW3mh0oLa-gX48/edit?gid=480848512#gid=480848512,2.02603060069e+11,INV-1591,534,SI#534.pdf,2026/03/17,2026/04/17,2026/03/13,31,0y 1m 4d late,16
PESO MLBB Asian Games Broadcast Downpayment,Pilipinas E-Sports Organization Inc.,PESO MLBB Asian Games Broadcast,2026TEG-P0075,202603110079,58166.08,"58,166.08",PHP,,,Collected,aloboy,58166.08,"58,166.08",0.00,2026,PDEI-Event Service,SIGNED  - - CE_2026TEG-P0075 PESO Asian Games Broadcast - QUOTATION PESO v2 (Aut.pdf,https://docs.google.com/spreadsheets/d/1XqYYDY5ciZRdDKn6O-enqu_4jOZ7iPRZICbcQaCFYrM/edit?usp=sharing,2.0260311008e+11,INV-1594,532,INV-1594 SI NO. 532.pdf,2026/03/13,2026/04/27,2026/03/19,45,0y 1m 8d late,18
MPL PH S17 Downpayment ,Moonton Philippines Technology Inc.,MPL PH S17,2026TEG-P0009,202602190021,2.264489655e+07,"22,644,896.55",PHP,,,Collected,Marcus Joaquin Viray Gonzales,2.264489655e+07,"22,644,896.55",0.00,2026,PDEI-Event Service,[REVISED] CE-2026TEG-P0009-MPL PH S17.pdf,https://docs.google.com/spreadsheets/d/1TO1l4QgZu9SyxbryM68AwIFA3bOs1KqhbjbsOmyBXPc/edit?usp=sharing,2.02603170106e+11,INV-1598,535,INV-1598 SI 535.pdf,2026/03/23,2026/03/23,2026/04/10,0,0y 0m 18d early,13
MPL PH S17 Addedum for Gen Set Downpayment (50%),Moonton Philippines Technology Inc.,MPL PH S17 Addendum (Genset Diesel),2026TEG-P0085,202603300095,324889.6,"324,889.60",PHP,,,Collected,Marcus Joaquin Viray Gonzales,324889.6,"324,889.60",0.00,2026,PDEI-Event Service,CE-2026TEG-P0085-MPL PH S17 Addendum.pdf,https://docs.google.com/spreadsheets/d/1wPgnLLpi1hbpY9t9l9EJr3FNYeQ4WrECK7BTcEaM7Xw/edit?usp=sharing,2.02603300096e+11,INV-1604,539,INV-1604 SI NO. 539.pdf,2026/04/01,2026/04/13,2026/04/30,12,0y 0m 17d early,16
AVP Production for LARES Full Payment,Land Registration Systems Inc ,AVP Production for Land Registration Systems Inc,2026TEG-P0054,202603040036,104517,"104,517.00",PHP,May 11: Collected,,Collected,Shanna Mae Alindada Sacsi,104517,"104,517.00",0.00,2026,PDEI-Game Marketing,[LARES x Mineski] Final Conforme (2026.03.05) (1).pdf,https://docs.google.com/spreadsheets/d/1n6NYsWbb9XMpFRYoaBcRfQ2rJm1J2xW3mh0oLa-gX48/edit?gid=480848512#gid=480848512,2.02604060015e+11,INV-1606,540,INV-1606 SI NO. 540.pdf,2026/04/06,2026/05/11,2026/04/17,35,0y 0m 24d late,20
PESO MLBB Asian Games Broadcast Full Payment,Pilipinas E-Sports Organization Inc.,PESO MLBB Asian Games Broadcast,2026TEG-P0075,202603110079,58166.08,"58,166.08",PHP,,,Collected,aloboy,58166.08,"58,166.08",0.00,2026,PDEI-Event Service,SIGNED  - - CE_2026TEG-P0075 PESO Asian Games Broadcast - QUOTATION PESO v2 (Aut.pdf,https://docs.google.com/spreadsheets/d/1XqYYDY5ciZRdDKn6O-enqu_4jOZ7iPRZICbcQaCFYrM/edit?usp=sharing,2.02604070043e+11,INV-1607,542,INV-1607 SI NO. 542.pdf,2026/04/07,2026/04/27,2026/04/16,20,0y 0m 11d late,18
SM Cyberzone Trading Card Game (TCG) Activations ADDENDUM,SM Prime Holdings Inc.,Addendum - SM Cyberzone Tabletop Throwdown,2026TEG-P0053,202602270013,15748.99,"15,748.99",PHP,May 11: Marked as paid in SM's system,,Collected,Shanna Mae Alindada Sacsi,15748.99,"15,748.99",0.00,2026,PDEI-Event Service,CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series.pdf,https://docs.google.com/spreadsheets/d/1JW69zDQ4bh1bZcU3xjEVIFAINSze7q6_Fd0yrfBgakA/edit?usp=sharing,2.0260413003e+11,INV-1613,548,INV-1613 SI 548.pdf,2026/04/24,2026/05/18,2026/04/10,24,0y 1m 8d late,21
SportsPlus Roadtrip Watch Party Down Payment,Infinitech Digital Gaming Corporation,SportsPlus Roadtrip Watch Party,2026TEG-P0028,202603240070,772006.5,"772,006.50",PHP,,,Collected,Alvaro Miguel Dela Vega Santos,772006.5,"772,006.50",0.00,2026,PDEI-Game Marketing,EXT_SportsPlus_x_MPBL_Activation_and_Festival_2026_03_12_SIGNED.pdf,https://docs.google.com/spreadsheets/d/1g3jOxcQqC_t-qgNsOBSWKM2nk1bsQbFgTTamvuoI1v4/edit?usp=sharing,2.02604130013e+11,INV-1615,550,INV-1615 SI 550.pdf,2026/04/24,2026/04/08,2026/04/08,16,0y 0m 0d late,15
SM Cyberzone Trading Card Game (TCG) Activations Full Payment,SM Prime Holdings Inc.,SM Cyberzone Tabletop Throwdown,2025TEG-P0278,202602090082,2.95912687e+06,"2,959,126.87",PHP,May 11: Marked as paid in SM's system,,Collected,Shanna Mae Alindada Sacsi,2.95912687e+06,"2,959,126.87",0.00,2026,PDEI-Event Service,[4.8] CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series.pdf,https://docs.google.com/spreadsheets/d/1JW69zDQ4bh1bZcU3xjEVIFAINSze7q6_Fd0yrfBgakA/edit?gid=253769181#gid=253769181,2.02604220016e+11,INV-1616,551,INV-1616 SI 551.pdf,2026/04/24,2026/05/18,2026/04/10,24,0y 1m 8d late,21
Mineski Outpost - Don Bosco Alumni AMD X-Deal,Don Bosco,Mineski Outpost - Don Bosco Alumni AMD X-Deal,2026TEG-P0018,,33482.14,"33,482.14",PHP,,,Collected,Alvaro Miguel Dela Vega Santos,33482.14,"33,482.14",0.00,2026,PDEI-IP,,,,,,,,2026/01/30,,0,0y 0m 0d late,5
GG Truck KIS4 HoK Full Payment,Dragon AI Media,GG Truck KIS4 HoK,2026TEG-P0036,202602050062,62500,"62,500.00",PHP,,,Collected,Alvaro Miguel Dela Vega Santos,62500,"62,500.00",0.00,2026,GG-Event Service,,,,,,,,2026/05/08,,0,0y 0m 0d late,19
RaizeSquad GG Truck Rental Full Payment,RaizeSquadPH,RaizeSquad GG Truck Rental,2026TEG-P0098,,18303.57,"18,303.57",PHP,,,Collected,Marcus Joaquin Viray Gonzales,18303.57,"18,303.57",0.00,2026,GG-Event Service,,,,,,,,2026/01/30,,0,0y 0m 0d late,5
SM Cyberzone Trading Card Game (TCG) Activations Full Payment,SM Prime Holdings Inc.,SM Cyberzone Tabletop Throwdown,2025TEG-P0278,202602090082,1.2e+06,"1,200,000.00",PHP,Amount changed due to penalty. See INV-1616 for new invoice.,,Invalid,Shanna Mae Alindada Sacsi,,,,2026,PDEI-Event Service,[4.8] CE_2025TEG-P0278 SM Cyberzone TCG x Challenger Series.pdf,https://docs.google.com/spreadsheets/d/1JW69zDQ4bh1bZcU3xjEVIFAINSze7q6_Fd0yrfBgakA/edit?gid=253769181#gid=253769181,2.0260309005e+11,INV-1592,531,INV-1592 SI NO 531.pdf,2026/03/11,2026/04/10,2026/04/10,30,0y 0m 0d late,15
World Of Tanks HEAT KOL Campaign Full Payment,Wargaming,World Of Tanks HEAT KOL Campaign,2026TEG-P0082,202604070080,999.89,"56,993.73",USD,Re-invoiced from changed CE,,Invalid,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,"World Of Tanks HEAT KOL Campaign CE_2026TEG-P0082 CE - QUOTATION (Automated)_sig.pdf
World Of Tanks HEAT KOL Campaign CE_2026TEG-P0082 CE  Quote (1).pdf",https://docs.google.com/spreadsheets/d/1OMxmmxrlh88BWOQKwEXPJFwEJDxXzSHuupU034GW038/edit?gid=480848512#gid=480848512,2.02604270042e+11,INV-1623,558,Invoice INV-1623 II SI NO.558.pdf,2026/05/05,2026/06/30,2026/05/29,56,0y 1m 1d late,27
